Unnamed_0,MANDT,SPRAS,KTOPL,Unnamed_4,Unnamed_5,SAKNR,Unnamed_7,TXT20,Unnamed_9,TXT50,Unnamed_11,Unnamed_12,Unnamed_13,MCOD1
,800,1,4000,,,1002010320,,银行存款-人民币-建设银行-专用户1,,银行存款-人民币-建设银行-专用户1,,,,银行存款-人民币-建设银行-专用户1
,800,1,4000,,,1002010321,,银行存款-人民币-建设银行-专用户2,,银行存款-人民币-建设银行-专用户2,,,,银行存款-人民币-建设银行-专用户2
,800,1,4000,,,1002010322,,银行存款-人民币-建设银行-专用户3,,银行存款-人民币-建设银行-专用户3,,,,银行存款-人民币-建设银行-专用户3
,800,1,4000,,,1002010410,,银行存款-人民币-交通银行-一般户1,,银行存款-人民币-交通银行-一般户1,,,,银行存款-人民币-交通银行-一般户1
,800,1,4000,,,1002010501,,银行存款-人民币-工商银行-一基本户,,银行存款-人民币-工商银行-一基本户,,,,银行存款-人民币-工商银行-一基本户
,800,1,4000,,,1002010510,,银行存款-人民币-工商银行-一般户1,,银行存款-人民币-工商银行-一般户1,,,,银行存款-人民币-工商银行-一般户1
,800,1,4000,,,1002010511,,银行存款-人民币-工商银行-一般户2,,银行存款-人民币-工商银行-一般户2,,,,银行存款-人民币-工商银行-一般户2
,800,1,4000,,,1002010520,,银行存款-人民币-工商银行-专用户1,,银行存款-人民币-工商银行-专用户1,,,,银行存款-人民币-工商银行-专用户1
,800,1,4000,,,1002010601,,银行存款-人民币-中信实业银行-基本户,,银行存款-人民币-中信实业银行-基本户,,,,银行存款-人民币-中信实业银行-基本户
,800,1,4000,,,1002010602,,银行存款-人民币-中信实业银行-贷款户,,银行存款-人民币-中信实业银行-贷款户,,,,银行存款-人民币-中信实业银行-贷款户
,800,1,4000,,,1002010603,,银行存款-人民币-中信实业银行-保证金户,,银行存款-人民币-中信实业银行-保证金户,,,,银行存款-人民币-中信实业银行-保证金户
,800,1,4000,,,1002010604,,银行存款-人民币-中信银行-保证金户2,,银行存款-人民币-中信银行-保证金户2,,,,银行存款-人民币-中信银行-保证金户2
,800,1,4000,,,1002010605,,银行存款-人民币-中信银行-保证金户3,,银行存款-人民币-中信银行-保证金户3,,,,银行存款-人民币-中信银行-保证金户3
,800,1,4000,,,1002010606,,银行存款-人民币-中信银行-保证金户4,,银行存款-人民币-中信银行-保证金户4,,,,银行存款-人民币-中信银行-保证金户4
,800,1,4000,,,1002010607,,银行存款-人民币-中信银行-保证金户5,,银行存款-人民币-中信银行-保证金户5,,,,银行存款-人民币-中信银行-保证金户5
,800,1,4000,,,1002010608,,银行存款-人民币-中信银行-保证金户6,,银行存款-人民币-中信银行-保证金户6,,,,银行存款-人民币-中信银行-保证金户6
,800,1,4000,,,1002010609,,银行存款-人民币-中信银行-保证金户7,,银行存款-人民币-中信银行-保证金户7,,,,银行存款-人民币-中信银行-保证金户7
,800,1,4000,,,1002010610,,银行存款-人民币-中信银行-一般户1,,银行存款-人民币-中信银行-一般户1,,,,银行存款-人民币-中信银行-一般户1
,800,1,4000,,,1002010611,,银行存款-人民币-中信实业银行-一般户2,,银行存款-人民币-中信实业银行-一般户2,,,,银行存款-人民币-中信实业银行-一般户2
,800,1,4000,,,1002010612,,银行存款-人民币-中信实业银行-一般户3,,银行存款-人民币-中信实业银行-一般户3,,,,银行存款-人民币-中信实业银行-一般户3
,800,1,4000,,,1002010620,,银行存款-人民币-中信实业银行-专用户,,银行存款-人民币-中信实业银行-专用户,,,,银行存款-人民币-中信实业银行-专用户
,800,1,4000,,,1002010621,,银行存款-人民币-中信银行-专用户2,,银行存款-人民币-中信银行-专用户2,,,,银行存款-人民币-中信银行-专用户2
,800,1,4000,,,1002010640,,银行存款-人民币-中信银行-保证金户8,,银行存款-人民币-中信银行-保证金户8,,,,银行存款-人民币-中信银行-保证金户8
,800,1,4000,,,1002010641,,银行存款-人民币-中信银行-保证金户9,,银行存款-人民币-中信银行-保证金户9,,,,银行存款-人民币-中信银行-保证金户9
,800,1,4000,,,1002010642,,银行存款-人民币-中信银行-保证金户10,,银行存款-人民币-中信银行-保证金户10,,,,银行存款-人民币-中信银行-保证金户10
,800,1,4000,,,1002010643,,银行存款-人民币-中信银行-保证金户11,,银行存款-人民币-中信银行-保证金户11,,,,银行存款-人民币-中信银行-保证金户11
,800,1,4000,,,1002010644,,银行存款-人民币-中信银行-保证金户12,,银行存款-人民币-中信银行-保证金户12,,,,银行存款-人民币-中信银行-保证金户12
,800,1,4000,,,1002010645,,银行存款-人民币-中信银行-保证金户13,,银行存款-人民币-中信银行-保证金户13,,,,银行存款-人民币-中信银行-保证金户13
,800,1,4000,,,1002010646,,银行存款-人民币-中信银行-保证金户14,,银行存款-人民币-中信银行-保证金户14,,,,银行存款-人民币-中信银行-保证金户14
,800,1,4000,,,1002010647,,银行存款-人民币-中信银行-保证金户15,,银行存款-人民币-中信银行-保证金户15,,,,银行存款-人民币-中信银行-保证金户15
,800,1,4000,,,1002010648,,银行存款-人民币-中信银行-保证金户16,,银行存款-人民币-中信银行-保证金户16,,,,银行存款-人民币-中信银行-保证金户16
,800,1,4000,,,1002010710,,银行存款-人民币-光大银行-一般户1,,银行存款-人民币-光大银行-一般户1,,,,银行存款-人民币-光大银行-一般户1
,800,1,4000,,,1002010730,,银行存款-人民币-光大银行-结构性账户,,银行存款-人民币-光大银行-结构性账户,,,,银行存款-人民币-光大银行-结构性账户
,800,1,4000,,,1002010801,,银行存款-人民币-兴业银行-基本户,,银行存款-人民币-兴业银行-基本户,,,,银行存款-人民币-兴业银行-基本户
,800,1,4000,,,1002010810,,银行存款-人民币-兴业银行-一般户1,,银行存款-人民币-兴业银行-一般户1,,,,银行存款-人民币-兴业银行-一般户1
,800,1,4000,,,1002010811,,银行存款-人民币-兴业银行-一般户2,,银行存款-人民币-兴业银行-一般户2,,,,银行存款-人民币-兴业银行-一般户2
,800,1,4000,,,1002010830,,银行存款-人民币-兴业银行-结构性账户,,银行存款-人民币-兴业银行-结构性账户,,,,银行存款-人民币-兴业银行-结构性账户
,800,1,4000,,,1002010901,,银行存款-人民币-民生银行-基本户1,,银行存款-人民币-民生银行-基本户1,,,,银行存款-人民币-民生银行-基本户1
,800,1,4000,,,1002010903,,银行存款-人民币-民生银行-保证金户,,银行存款-人民币-民生银行-保证金户,,,,银行存款-人民币-民生银行-保证金户
,800,1,4000,,,1002010910,,银行存款-人民币-民生银行-一般户1,,银行存款-人民币-民生银行-一般户1,,,,银行存款-人民币-民生银行-一般户1
,800,1,4000,,,1002010911,,银行存款-人民币-民生银行-一般户2,,银行存款-人民币-民生银行-一般户2,,,,银行存款-人民币-民生银行-一般户2
,800,1,4000,,,1002011001,,银行存款-人民币-招商银行-基本户,,银行存款-人民币-招商银行-基本户,,,,银行存款-人民币-招商银行-基本户
,800,1,4000,,,1002011002,,银行存款-人民币-招商银行-贷款户,,银行存款-人民币-招商银行-贷款户,,,,银行存款-人民币-招商银行-贷款户
,800,1,4000,,,1002011010,,银行存款-人民币-招商银行-一般户1,,银行存款-人民币-招商银行-一般户1,,,,银行存款-人民币-招商银行-一般户1
,800,1,4000,,,1002011011,,银行存款-人民币-招商银行-一般户2,,银行存款-人民币-招商银行-一般户2,,,,银行存款-人民币-招商银行-一般户2
,800,1,4000,,,1002011012,,银行存款-人民币-招商银行-一般户3,,银行存款-人民币-招商银行-一般户3,,,,银行存款-人民币-招商银行-一般户3
,800,1,4000,,,1002011060,,银行存款-人民币-招商银行-定期存款户1,,银行存款-人民币-招商银行-定期存款户1,,,,银行存款-人民币-招商银行-定期存款户1
,800,1,4000,,,1002011110,,银行存款-人民币-华夏银行-一般户,,银行存款-人民币-华夏银行-一般户,,,,银行存款-人民币-华夏银行-一般户
,800,1,4000,,,1002011120,,银行存款-人民币-华夏银行-专用户1,,银行存款-人民币-华夏银行-专用户1,,,,银行存款-人民币-华夏银行-专用户1
,800,1,4000,,,1002011201,,银行存款-人民币-上海浦发银行-一般户1,,银行存款-人民币-上海浦发银行-一般户1,,,,银行存款-人民币-上海浦发银行-一般户1
,800,1,4000,,,1002011202,,银行存款-人民币-上海浦发银行-一般户2,,银行存款-人民币-上海浦发银行-一般户2,,,,银行存款-人民币-上海浦发银行-一般户2
,800,1,4000,,,1002011601,,银行存款-人民币-农业发展银行-基本户,,银行存款-人民币-农业发展银行-基本户,,,,银行存款-人民币-农业发展银行-基本户
,800,1,4000,,,1002011602,,银行存款-人民币-农业发展银行-贷款户,,银行存款-人民币-农业发展银行-贷款户,,,,银行存款-人民币-农业发展银行-贷款户
,800,1,4000,,,1002011610,,银行存款-人民币-农业发展银行-一般户1,,银行存款-人民币-农业发展银行-一般户1,,,,银行存款-人民币-农业发展银行-一般户1
,800,1,4000,,,1002011710,,银行存款-人民币-信用社-一般户1,,银行存款-人民币-信用社-一般户1,,,,银行存款-人民币-信用社-一般户1
,800,1,4000,,,1002011711,,银行存款-人民币-信用社-一般户2,,银行存款-人民币-信用社-一般户2,,,,银行存款-人民币-信用社-一般户2
,800,1,4000,,,1002011720,,银行存款-人民币-信用社-专用户1,,银行存款-人民币-信用社-专用户1,,,,银行存款-人民币-信用社-专用户1
,800,1,4000,,,1002011803,,银行存款-人民币-邮政储蓄银行-保证金户,,银行存款-人民币-邮政储蓄银行-保证金户1,,,,银行存款-人民币-邮政储蓄银行-保证金户1
,800,1,4000,,,1002011810,,银行存款-人民币-邮政储蓄银行-一般户1,,银行存款-人民币-邮政储蓄银行-一般户1,,,,银行存款-人民币-邮政储蓄银行-一般户1
,800,1,4000,,,1002011811,,银行存款-人民币-邮政储蓄银行-一般户2,,银行存款-人民币-邮政储蓄银行-一般户2,,,,银行存款-人民币-邮政储蓄银行-一般户2
,800,1,4000,,,1002012010,,银行存款-人民币-花旗银行-一般户1,,银行存款-人民币-花旗银行-一般户1,,,,银行存款-人民币-花旗银行-一般户1
,800,1,4000,,,1002012202,,银行存款-人民币-汇丰银行-贷款户,,银行存款-人民币-汇丰银行-贷款户,,,,银行存款-人民币-汇丰银行-贷款户
,800,1,4000,,,1002012203,,银行存款-人民币-汇丰银行-保证金户,,银行存款-人民币-汇丰银行-保证金户,,,,银行存款-人民币-汇丰银行-保证金户
,800,1,4000,,,1002012210,,银行存款-人民币-汇丰银行-一般户1,,银行存款-人民币-汇丰银行-一般户1,,,,银行存款-人民币-汇丰银行-一般户1
,800,1,4000,,,1002012211,,银行存款-人民币-汇丰银行-一般户2,,银行存款-人民币-汇丰银行-一般户2,,,,银行存款-人民币-汇丰银行-一般户2
,800,1,4000,,,1002012220,,银行存款-人民币-汇丰银行-专用户,,银行存款-人民币-汇丰银行-专用户,,,,银行存款-人民币-汇丰银行-专用户
,800,1,4000,,,1002012240,,银行存款-人民币-汇丰银行-FTN户,,银行存款-人民币-汇丰银行-FTN户,,,,银行存款-人民币-汇丰银行-FTN户
,800,1,4000,,,1002013010,,银行存款-人民币-成都银行-一般户1,,银行存款-人民币-成都银行-一般户1,,,,银行存款-人民币-成都银行-一般户1
,800,1,4000,,,1002013011,,银行存款-人民币-成都银行-一般户2,,银行存款-人民币-成都银行-一般户2,,,,银行存款-人民币-成都银行-一般户2
,800,1,4000,,,1002013012,,银行存款-人民币-成都银行-一般户3,,银行存款-人民币-成都银行-一般户3,,,,银行存款-人民币-成都银行-一般户3
,800,1,4000,,,1002013020,,银行存款-人民币-成都银行-专用户1,,银行存款-人民币-成都银行-专用户1,,,,银行存款-人民币-成都银行-专用户1
,800,1,4000,,,1002013120,,银行存款-人民币-富滇银行-专用户1,,银行存款-人民币-富滇银行-专用户1,,,,银行存款-人民币-富滇银行-专用户1
,800,1,4000,,,1002013201,,银行存款-人民币-农村合作银行-基本户,,银行存款-人民币-农村合作银行-基本户,,,,银行存款-人民币-农村合作银行-基本户
,800,1,4000,,,1002013210,,银行存款-人民币-农村合作银行-一般户1,,银行存款-人民币-农村合作银行-一般户1,,,,银行存款-人民币-农村合作银行-一般户1
,800,1,4000,,,1002013310,,银行存款-人民币-广东发展银行-一般户1,,银行存款-人民币-广东发展银行-一般户1,,,,银行存款-人民币-广东发展银行-一般户1
